CL_NUM,CL_AGUA
7766,0.0
7770,0.0
7769,0.0
7768,0.0
7771,0.0
7773,0.0
7774,0.0
7775,0.0
5488,0.0
7776,0.0
7777,0.0
7782,0.0
7783,0.0
6142,0.0
7780,0.0
7781,0.0
7779,0.0
7784,0.0
7785,0.0
7786,0.0
7788,0.0
7789,0.0
7787,0.0
7778,0.0
7790,0.0
7791,0.0
7792,0.0
7794,0.0
7793,0.0
7795,0.0
7796,0.0
7797,0.0
7799,0.0
7800,0.0
7801,0.0
6386,0.0
7802,0.0
7803,0.0
7805,0.0
7804,0.0
7806,0.0
7807,0.0
7808,0.0
7809,0.0
5977,0.0
7810,0.0
7811,0.0
7812,0.0
7813,0.0
7815,0.0
7814,0.0
7817,0.0
7816,0.0
7821,0.0
7820,0.0
7819,0.0
7822,0.0
7823,0.0
7824,0.0
7825,0.0
7826,0.0
7827,0.0
7828,0.0
7829,0.0
7830,0.0
7831,0.0
7832,0.0
5212,0.0
350,0.0
7833,0.0
7835,0.0
7836,0.0
7834,0.0
7837,0.0
7838,0.0
7839,0.0
7841,0.0
7840,0.0
7842,0.0
7843,0.0
7844,0.0
7845,0.0
5038,0.0
