CL_NUM,PC_COD,PC_POR,PC_MON,PC_KEY
563,1,0.0,3500.0,000056301
564,1,0.0,49.99,000056401
567,1,0.0,3500.0,000056701
568,1,0.0,3500.0,000056801
569,1,5.0,3500.0,000056901
570,1,5.0,3500.0,000057001
571,1,2.5,3500.0,000057101
572,1,5.0,3500.0,000057201
573,1,0.0,3500.0,000057301
574,1,0.0,3500.0,000057401
575,1,0.0,3500.0,000057501
576,1,0.0,49.99,000057601
577,1,0.0,3500.0,000057701
578,1,0.0,3500.0,000057801
579,1,0.9,3500.0,000057901
580,1,0.0,3500.0,000058001
581,1,0.0,49.99,000058101
582,1,0.0,3500.0,000058201
583,1,1.6,3500.0,000058301
584,1,0.0,3500.0,000058401
585,1,0.0,3500.0,000058501
586,1,0.0,3500.0,000058601
587,1,0.0,3500.0,000058701
588,1,6.0,3500.0,000058801
589,1,6.0,3500.0,000058901
591,1,0.8,3500.0,000059101
592,1,0.0,3500.0,000059201
593,1,0.0,3500.0,000059301
594,1,0.0,3500.0,000059401
595,1,0.0,49.99,000059501
596,1,0.0,3500.0,000059601
597,1,5.0,3500.0,000059701
598,1,0.9,3500.0,000059801
599,1,6.0,3500.0,000059901
601,1,6.0,3500.0,000060101
602,1,0.0,3500.0,000060201
604,1,0.0,3500.0,000060401
607,1,0.0,49.99,000060701
608,1,0.0,3500.0,000060801
611,1,0.0,49.99,000061101
612,1,0.0,3500.0,000061201
613,1,0.0,3500.0,000061301
614,1,0.4,3500.0,000061401
615,1,0.0,3500.0,000061501
616,1,0.0,49.99,000061601
617,1,0.0,3500.0,000061701
618,1,2.5,3500.0,000061801
619,1,0.0,49.99,000061901
620,1,0.0,3500.0,000062001
621,1,4.0,3500.0,000062101
623,1,2.5,3500.0,000062301
624,1,0.0,3500.0,000062401
625,1,0.0,3500.0,000062501
626,1,1.6,3500.0,000062601
627,1,1.6,3500.0,000062701
628,1,0.0,49.99,000062801
629,1,0.0,49.99,000062901
631,1,1.5,3500.0,000063101
632,1,0.0,3500.0,000063201
633,1,0.0,3500.0,000063301
635,1,0.0,49.99,000063501
636,1,0.0,3500.0,000063601
637,1,0.0,3500.0,000063701
638,1,0.0,3500.0,000063801
639,1,0.3,3500.0,000063901
641,1,0.0,3500.0,000064101
642,1,0.0,3500.0,000064201
643,1,0.0,3500.0,000064301
644,1,0.3,3500.0,000064401
645,1,1.5,3500.0,000064501
646,1,1.6,3500.0,000064601
647,1,0.8,3500.0,000064701
648,1,0.0,49.99,000064801
649,1,0.0,49.99,000064901
650,1,0.0,3500.0,000065001
651,1,8.0,3500.0,000065101
652,1,0.0,3500.0,000065201
653,1,1.5,3500.0,000065301
654,1,1.6,3500.0,000065401
655,1,0.0,3500.0,000065501
656,1,0.0,3500.0,000065601
658,1,0.0,3500.0,000065801
659,1,0.0,49.99,000065901
660,1,0.0,49.99,000066001
661,1,0.0,3500.0,000066101
662,1,0.0,3500.0,000066201
664,1,0.0,3500.0,000066401
665,1,0.0,3500.0,000066501
666,1,0.0,3500.0,000066601
667,1,0.0,3500.0,000066701
668,1,0.0,3500.0,000066801
669,1,0.0,49.99,000066901
670,1,0.0,3500.0,000067001
671,1,2.0,3500.0,000067101
672,1,0.0,49.99,000067201
673,1,0.0,3500.0,000067301
674,1,0.2,3500.0,000067401
675,1,0.0,3500.0,000067501
676,1,0.0,3500.0,000067601
677,1,0.0,3500.0,000067701
678,1,0.0,3500.0,000067801
679,1,0.0,3500.0,000067901
680,1,0.0,3500.0,000068001
681,1,0.0,3500.0,000068101
682,1,2.5,3500.0,000068201
684,1,5.0,3500.0,000068401
686,1,1.5,3500.0,000068601
687,1,0.0,3500.0,000068701
688,1,0.0,3500.0,000068801
689,1,0.2,3500.0,000068901
690,1,5.0,3500.0,000069001
691,1,6.0,3500.0,000069101
692,1,4.0,3500.0,000069201
693,1,0.2,3500.0,000069301
694,1,0.4,3500.0,000069401
695,1,3.5,3500.0,000069501
696,1,0.0,3500.0,000069601
697,1,0.0,3500.0,000069701
698,1,0.0,3500.0,000069801
700,1,0.0,3500.0,000070001
701,1,0.0,3500.0,000070101
702,1,0.4,3500.0,000070201
703,1,5.0,3500.0,000070301
704,1,0.0,3500.0,000070401
705,1,0.0,3500.0,000070501
706,1,0.0,3500.0,000070601
707,1,0.0,3500.0,000070701
708,1,0.4,3500.0,000070801
709,1,0.0,3500.0,000070901
710,1,0.0,49.99,000071001
711,1,0.0,3500.0,000071101
712,1,0.0,3500.0,000071201
713,1,1.6,3500.0,000071301
714,1,0.3,3500.0,000071401
716,1,0.0,3500.0,000071601
717,1,0.0,3500.0,000071701
718,1,0.0,3500.0,000071801
719,1,0.0,3500.0,000071901
721,1,0.0,3500.0,000072101
722,1,0.0,3500.0,000072201
724,1,1.6,3500.0,000072401
725,1,6.0,3500.0,000072501
726,1,0.5,3500.0,000072601
728,1,0.0,3500.0,000072801
730,1,0.0,3500.0,000073001
731,1,0.0,3500.0,000073101
732,1,0.0,49.99,000073201
733,1,0.0,3500.0,000073301
734,1,2.5,3500.0,000073401
735,1,0.0,3500.0,000073501
736,1,1.6,3500.0,000073601
737,1,0.0,3500.0,000073701
739,1,0.0,3500.0,000073901
740,1,0.0,3500.0,000074001
741,1,0.0,3500.0,000074101
742,1,0.0,3500.0,000074201
745,1,0.0,3500.0,000074501
747,1,0.0,3500.0,000074701
748,1,0.0,3500.0,000074801
750,1,0.0,3500.0,000075001
751,1,2.5,3500.0,000075101
752,1,0.0,49.99,000075201
753,1,0.0,3500.0,000075301
754,1,0.5,3500.0,000075401
755,1,0.0,3500.0,000075501
756,1,0.0,3500.0,000075601
757,1,0.0,3500.0,000075701
758,1,4.0,3500.0,000075801
759,1,0.1,3500.0,000075901
760,1,0.0,3500.0,000076001
761,1,0.0,3500.0,000076101
762,1,6.0,3500.0,000076201
763,1,4.0,3500.0,000076301
764,1,0.8,3500.0,000076401
765,1,0.0,3500.0,000076501
766,1,0.3,3500.0,000076601
767,1,6.0,3500.0,000076701
768,1,0.5,3500.0,000076801
769,1,0.0,3500.0,000076901
770,1,0.4,3500.0,000077001
772,1,0.0,3500.0,000077201
773,1,0.0,3500.0,000077301
774,1,0.0,3500.0,000077401
775,1,0.0,3500.0,000077501
776,1,4.0,3500.0,000077601
778,1,0.0,3500.0,000077801
779,1,2.0,3500.0,000077901
781,1,0.0,49.99,000078101
782,1,0.0,3500.0,000078201
783,1,0.0,3500.0,000078301
784,1,0.0,3500.0,000078401
785,1,2.5,3500.0,000078501
786,1,0.0,3500.0,000078601
787,1,0.3,3500.0,000078701
788,1,6.0,3500.0,000078801
789,1,0.0,3500.0,000078901
790,1,0.0,3500.0,000079001
791,1,1.6,3500.0,000079101
792,1,6.0,3500.0,000079201
793,1,0.0,3500.0,000079301
794,1,0.0,3500.0,000079401
795,1,0.0,49.99,000079501
796,1,6.0,3500.0,000079601
797,1,0.0,3500.0,000079701
799,1,0.0,3500.0,000079901
800,1,0.0,49.99,000080001
801,1,6.0,3500.0,000080101
802,1,0.0,3500.0,000080201
803,1,0.0,3500.0,000080301
805,1,0.0,49.99,000080501
807,1,0.0,3500.0,000080701
808,1,1.5,3500.0,000080801
809,1,0.0,3500.0,000080901
