PR_NUM,RT_COD,RT_POR,RT_MON,RT_KEY,RT_ACU,RT_IVA
402,50,0.0,19000.0,000040250,0,0
403,50,0.0,19000.0,000040350,0,0
404,50,2.0,19000.0,000040450,0,0
405,50,0.7,19000.0,000040550,0,0
406,50,0.0,19000.0,000040650,0,0
408,50,0.0,399.99,000040850,0,0
409,50,0.0,399.99,000040950,0,0
412,50,0.0,19000.0,000041250,0,0
413,50,0.3,19000.0,000041350,0,0
414,50,0.0,19000.0,000041450,0,0
416,50,0.0,19000.0,000041650,0,0
417,50,0.0,19000.0,000041750,0,0
418,50,0.0,19000.0,000041850,0,0
419,50,0.8,19000.0,000041950,0,0
420,50,0.9,19000.0,000042050,0,0
421,50,0.0,19000.0,000042150,0,0
422,50,0.0,19000.0,000042250,0,0
423,50,2.0,19000.0,000042350,0,0
426,50,0.0,19000.0,000042650,0,0
427,50,0.7,19000.0,000042750,0,0
428,50,0.5,19000.0,000042850,0,0
429,50,1.3,19000.0,000042950,0,0
431,50,0.0,19000.0,000043150,0,0
433,50,2.5,19000.0,000043350,0,0
434,50,0.0,19000.0,000043450,0,0
435,50,0.0,19000.0,000043550,0,0
436,50,0.5,19000.0,000043650,0,0
439,50,5.0,19000.0,000043950,0,0
440,50,0.0,19000.0,000044050,0,0
442,50,0.0,19000.0,000044250,0,0
443,50,0.0,19000.0,000044350,0,0
444,50,0.9,19000.0,000044450,0,0
445,50,1.75,19000.0,000044550,0,0
447,50,2.5,19000.0,000044750,0,0
450,50,1.75,19000.0,000045050,0,0
452,50,2.5,19000.0,000045250,0,0
453,50,0.0,19000.0,000045350,0,0
455,50,0.9,19000.0,000045550,0,0
456,50,2.5,19000.0,000045650,0,0
457,50,1.75,19000.0,000045750,0,0
459,50,0.9,19000.0,000045950,0,0
461,50,0.0,19000.0,000046150,0,0
462,50,2.5,19000.0,000046250,0,0
463,50,0.0,19000.0,000046350,0,0
464,50,0.0,19000.0,000046450,0,0
465,50,0.0,399.99,000046550,0,0
466,50,0.0,19000.0,000046650,0,0
469,50,0.7,19000.0,000046950,0,0
470,50,2.5,19000.0,000047050,0,0
471,50,1.3,19000.0,000047150,0,0
472,50,1.75,19000.0,000047250,0,0
473,50,0.0,19000.0,000047350,0,0
474,50,5.0,19000.0,000047450,0,0
475,50,3.0,19000.0,000047550,0,0
477,50,0.0,399.99,000047750,0,0
479,50,0.0,19000.0,000047950,0,0
480,50,2.5,19000.0,000048050,0,0
481,50,2.5,19000.0,000048150,0,0
482,50,0.0,399.99,000048250,0,0
483,50,0.0,19000.0,000048350,0,0
484,50,1.75,19000.0,000048450,0,0
485,50,0.9,19000.0,000048550,0,0
486,50,0.0,19000.0,000048650,0,0
487,50,0.0,19000.0,000048750,0,0
488,50,6.0,19000.0,000048850,0,0
491,50,1.75,19000.0,000049150,0,0
492,50,0.0,399.99,000049250,0,0
493,50,0.9,19000.0,000049350,0,0
495,50,5.0,19000.0,000049550,0,0
496,50,0.0,19000.0,000049650,0,0
497,50,2.0,19000.0,000049750,0,0
498,50,2.5,19000.0,000049850,0,0
499,50,1.75,19000.0,000049950,0,0
500,50,2.5,19000.0,000050050,0,0
501,50,2.5,19000.0,000050150,0,0
502,50,0.0,19000.0,000050250,0,0
